number,name,altitude,terrain_diff,physical_diff,length,url,region_id,lat,lng,volcano_rank,eruption_alert,hike_season_start,hike_season_end,maple_season_end,maple_season_start,snow_season_start,snow_season_end,remaining_snow_start,remaining_snow_end
22,磐梯山,1819,★★,★★,日帰り,hundred_mt_individually_data/basic_data/basic_data-022.html,3,37.600978910764,140.07224673416,,,5月上旬,10月下旬,10月中旬,9月中旬,9月中旬,10月中旬,9月中旬,10月中旬
23,会津駒ヶ岳,2132,★★,★★,1泊2日,hundred_mt_individually_data/basic_data/basic_data-023.html,3,37.047566066835,139.35382624475,,,7月上旬,10月上旬,9月下旬,9月上旬,9月上旬,9月下旬,9月上旬,9月下旬
25,筑波山,877,★,★,日帰り,hundred_mt_individually_data/basic_data/basic_data-025.html,4,36.225386425012,140.10668236115,,,3月中旬,11月中旬,11月上旬,10月中旬,10月中旬,11月上旬,10月中旬,11月上旬
26,燧ヶ岳,2356,★★,★★,1泊2日,hundred_mt_individually_data/basic_data/basic_data-026.html,5,36.955025337086,139.28534902782,,,7月上旬,10月中旬,10月下旬,9月下旬,9月下旬,10月下旬,9月下旬,10月下旬
28,武尊山,2158,★★,★★★,日帰り,hundred_mt_individually_data/basic_data/basic_data-028.html,6,36.80518284549,139.13257125004,,,5月下旬,10月下旬,10月中旬,9月中旬,9月中旬,10月中旬,9月中旬,10月中旬
30,男体山,2486,★★,★★,日帰り,hundred_mt_individually_data/basic_data/basic_data-030.html,7,36.765150423665,139.49083426535,,,5月下旬,10月下旬,10月中旬,9月中旬,9月中旬,10月中旬,9月中旬,10月中旬
32,皇海山,2144,★★,★,日帰り,hundred_mt_individually_data/basic_data/basic_data-032.html,8,36.689861361199,139.33697277915,,,5月下旬,11月下旬,10月中旬,9月上旬,9月上旬,10月中旬,9月上旬,10月中旬
33,越後駒ヶ岳,2003,★★,★★★,1泊2日,hundred_mt_individually_data/basic_data/basic_data-033.html,9,37.123608675832,139.07522145375,,,6月上旬,10月中旬,9月下旬,9月中旬,9月中旬,9月下旬,9月中旬,9月下旬
35,巻機山,1967,★,★★,前夜泊日帰り,hundred_mt_individually_data/basic_data/basic_data-035.html,9,36.97855724612,138.96445881353,,,6月中旬,10月中旬,9月下旬,9月中旬,9月中旬,9月下旬,9月中旬,9月下旬
37,苗場山,2145,★★,★★,2泊3日,hundred_mt_individually_data/basic_data/basic_data-037.html,9,36.845958525395,138.69030945973,,,6月上旬,10月中旬,9月下旬,9月中旬,9月中旬,9月下旬,9月中旬,9月下旬
38,雨飾山,1963,★★,★★,前夜泊日帰り,hundred_mt_individually_data/basic_data/basic_data-038.html,9,36.902027796677,137.96261798813,,,6月中旬,11月上旬,9月下旬,9月中旬,9月中旬,9月下旬,9月中旬,9月下旬
40,火打山,2462,★★,★★,1泊2日,hundred_mt_individually_data/basic_data/basic_data-040.html,9,36.922741027547,138.06811034263,,,7月上旬,10月上旬,10月中旬,9月中旬,9月中旬,10月中旬,9月中旬,10月中旬
42,草津白根山,2165,★,★,前夜泊1日,hundred_mt_individually_data/basic_data/basic_data-042.html,9,36.61835873721,138.52781757757,,,7月下旬,9月下旬,10月中旬,9月中旬,9月中旬,10月中旬,9月中旬,10月中旬
80,北岳,3192,★★,★★★,2泊3日,hundred_mt_individually_data/basic_data/basic_data-080.html,20,35.674566199019,138.23888562306,,,7月中旬,10月上旬,10月上旬,9月中旬,9月中旬,10月上旬,9月中旬,10月上旬
3,斜里岳,1547,★,★★,前夜泊日帰り,hundred_mt_individually_data/basic_data/basic_data-003.html,2,43.765758015019,144.71769117861,,,6月中旬,10月上旬,10月上旬,9月上旬,9月上旬,10月上旬,9月上旬,10月上旬
48,瑞牆山,2230,★★,★★,前夜泊1日,hundred_mt_individually_data/basic_data/basic_data-048.html,11,35.89346974793,138.59212048549,,,5月下旬,11月下旬,10月下旬,10月上旬,10月上旬,10月下旬,10月上旬,10月下旬
50,大菩薩嶺,2057,★,★★,1泊2日,hundred_mt_individually_data/basic_data/basic_data-050.html,11,35.748757884214,138.8454752765,,,4月上旬,11月下旬,10月下旬,10月上旬,10月上旬,10月下旬,10月上旬,10月下旬
52,富士山,3776,★,★★★,1泊2日,hundred_mt_individually_data/basic_data/basic_data-052.html,12,35.360747509167,138.72735534793,,,7月上旬,9月上旬,9月中旬,9月上旬,9月上旬,9月中旬,9月上旬,9月中旬
54,白馬岳,2932,★★★,★★★,1泊2日,hundred_mt_individually_data/basic_data/basic_data-054.html,13,36.758557090784,137.75860784527,,,7月中旬,10月上旬,10月中旬,9月中旬,9月中旬,10月中旬,9月中旬,10月中旬
57,剱岳,2999,★★★,★★★,1泊2日,hundred_mt_individually_data/basic_data/basic_data-057.html,13,36.623358659831,137.61716090348,,,7月中旬,9月下旬,10月中旬,9月中旬,9月中旬,10月中旬,9月中旬,10月中旬
58,立山,3015,★★,★★,1泊2日,hundred_mt_individually_data/basic_data/basic_data-058.html,13,36.575944818188,137.61976819184,,,7月中旬,10月上旬,10月中旬,9月上旬,9月上旬,10月中旬,9月上旬,10月中旬
